run id, strategy, time to plan, robot task number, human task number, makespan, risk
1, Planner, 20478.0, 16, 2, 256.19047619047615, 2.179841032860319E-37
2, Planner, 20847.0, 17, 1, 218.57142857142856, 1.6071531967072564E-38
3, Planner, 18824.0, 16, 2, 235.7142857142857, 1.1962967588337429E-36
4, Planner, 20253.0, 17, 1, 311.4285714285714, 3.736870342046262E-43
5, RiskAssessmentPlanner, 156829.0, 13, 5, 217.14285714285717, 9.377203674965648E-28
6, RiskAssessmentPlanner, 153432.0, 13, 5, 259.5238095238095, 1.4016467546684137E-29
7, RiskAssessmentPlanner, 138020.0, 11, 7, 162.85714285714286, 1.8842439225995134E-22
8, RiskAssessmentPlanner, 137096.0, 12, 6, 236.1904761904762, 7.790170967497364E-26
9, MakespanPlanner, 167548.0, 12, 6, 36.0, 1.3454364154969574E-18
10, MakespanPlanner, 165435.0, 13, 5, 37.14285714285714, 1.8163391609208936E-20
11, MakespanPlanner, 167566.0, 12, 6, 36.0, 8.408977596855984E-18
12, MakespanPlanner, 165735.0, 12, 6, 36.0, 2.1022443992139966E-17
13, RiskPlanner, 78181.0, 17, 1, 680.0, 2.6680814008779166E-50
14, RiskPlanner, 77713.0, 17, 1, 680.0, 4.4468023347965276E-51
15, RiskPlanner, 77644.0, 17, 1, 680.0, 4.4468023347965276E-51
16, RiskPlanner, 78037.0, 17, 1, 680.0, 2.6680814008779166E-50